player_name,player_slug,consistency_score,floor,ceiling,avg_fp,median_fp,std_fp,coef_variation,iqr_ratio,games_played,optimized_ma_fp,optimized_ma_points,optimized_ma_rebounds,optimized_ma_assists,injury_risk_score,games_played_count,is_contender,team
Alex Reese,reeseal01,5.912736185417663,3.0,16.0,12.333333333333334,13.0,5.769652406245015,0.46780965456040663,0.5961538461538461,30.0,11.855165254627133,5.316952315748263,0.40024992583175145,0.2635709843059263,70.0,30,False,Team.PHILADELPHIA_76ERS
Alex Sarr,sarral01,17.40131233224985,16.0,40.4,29.059701492537314,29.0,9.64269207009404,0.33182350729137167,0.46551724137931033,67.0,29.499697945485593,13.703283800027801,1.3979636605314456,3.0447176477248212,22.435960412388994,67,False,Team.WASHINGTON_WIZARDS
Alondes Williams,willial06,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,50.0,1,True,Team.DETROIT_PISTONS
Alperen Şengün,sengual01,27.825449158847942,29.5,56.0,42.39473684210526,43.0,11.109596311023449,0.2620513096330795,0.37790697674418605,76.0,28.510384834874102,23.16425327734194,4.570968919411775,3.4580817572837526,9.38852753950977,76,True,Team.HOUSTON_ROCKETS
Amari Bailey,baileam01,0.7623758784352903,0.0,9.399999999999991,5.1,2.0,8.938120607823548,1.7525726682006957,2.375,10.0,0.0,0.0,0.0,0.0,70.0,10,False,Team.CHARLOTTE_HORNETS
Amen Thompson,thompam01,20.695454067631687,17.8,51.2,36.0,38.0,13.222729661841573,0.3672980461622659,0.47368421052631576,69.0,40.57429785748446,14.699333423217901,2.8640204249995556,5.446829582549837,26.073711578747634,69,True,Team.HOUSTON_ROCKETS
Amir Coffey,coffeam01,8.355936169777959,7.0,24.799999999999997,15.375,16.0,7.157819151110204,0.4655492130803385,0.625,72.0,11.341206027165532,-584.9834892112628,0.14285714285714057,2.4006541291905363,13.663078871197381,72,True,Team.LOS_ANGELES_CLIPPERS
Andre Drummond,drumman01,10.91890925555588,9.9,33.1,19.675,18.5,9.442953722220606,0.4799468219680105,0.6081081081081081,40.0,4.069903097919699,10.253400691152777,1.8720969833895809,-1.0253288191099776,70.0,40,False,Team.PHILADELPHIA_76ERS
Andre Jackson Jr.,jacksan01,3.7220167869594993,1.0,21.0,9.91044776119403,8.0,7.666035468187577,0.7735306873020596,1.5,67.0,10.999483071106283,1.4585498119718774,0.9546633294234962,1.2228761871180516,35.0,67,True,Team.MILWAUKEE_BUCKS
Andrew Funk,funkan01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,50.0,5,False,Team.CHICAGO_BULLS
Andrew Nembhard,nembhan01,15.277184741632674,14.4,40.6,25.83076923076923,25.0,9.79099936875972,0.37904404941595105,0.48,65.0,17.97506332223403,10.390691389934904,-0.8727511799945888,2.476026690558305,25.40849464339717,65,True,Team.INDIANA_PACERS
Andrew Wiggins,wiggian01,19.349886426732436,18.9,45.0,31.566666666666666,30.0,10.517234533004492,0.3331753283950737,0.4083333333333333,120.0,-18.33136715308513,16.720233731804136,2.695809711007624,1.6566545659974543,9.1120254084225,120,False,Team.MIAMI_HEAT
Anfernee Simons,simonan01,19.353475538659353,18.0,46.0,32.32857142857143,34.0,11.054050878131807,0.3419282198273206,0.4338235294117647,70.0,32.38635290144455,19.440991147812944,0.5548058047623756,4.474811215662926,9.040925231598445,70,False,Team.PORTLAND_TRAIL_BLAZERS
Anthony Black,blackan01,11.620508377365779,9.0,36.599999999999994,21.91025641025641,22.0,10.173099138812121,0.4643076259961062,0.625,78.0,19.325430586629793,-0.7897539081741254,-0.48796327920055615,1.401715520710759,13.15754049720309,78,False,Team.ORLANDO_MAGIC
Anthony Davis,davisan02,31.777788037874004,31.0,67.0,51.11764705882353,54.0,15.40517745768881,0.3013671079179629,0.4074074074074074,102.0,74.02772352964095,34.228239600531,3.2742042618814287,2.9637290594148133,9.253285716875459,102,False,Team.DALLAS_MAVERICKS
