player_name,player_slug,consistency_score,floor,ceiling,avg_fp,median_fp,std_fp,coef_variation,iqr_ratio,games_played,optimized_ma_fp,optimized_ma_points,optimized_ma_rebounds,optimized_ma_assists,injury_risk_score,games_played_count,is_contender,team,recent_form_zscore,consistency_premium,age_factor,usage_proxy,upside_ratio,floor_reliability,projected_fp,proj_p10,proj_p25,proj_p50,proj_p75,proj_p90,upside,downside,risk_reward_ratio,projection_range,adjusted_projection,vorp,scarcity_adjusted_value,draft_score,overall_rank
Kevin Durant,duranke01,28.95921846334579,30.1,58.9,44.16129032258065,43.5,10.75713348972266,0.24358739092870887,0.28735632183908044,62.0,33.40251861307771,30.88441444995283,0.5002373821320187,3.6107133639641638,21.77796898231642,62,False,Team.PHOENIX_SUNS,-0.9150845925928776,2.9104676900308326,1.0,34.995365196049015,1.3042142857142855,0.6665,44.90018771221649,29.396725,42.97093,44.161797,44.35742,44.838863,0.6770668,14.765072,0.04294727,15.442139,40.011013235732314,24.330821980082035,17.717626583858515,32.9776085490264,27
Ivica Zubac,zubaciv01,24.67095210306972,25.0,52.0,38.575,38.0,10.58273948465141,0.2743419179430048,0.39473684210526316,80.0,32.478265949989115,13.651172206831234,4.4238798326657065,3.3103797761043334,7.242954584779203,80,True,Team.LOS_ANGELES_CLIPPERS,-0.5263637378782307,2.6713545880593967,1.0,21.385431815601272,1.31396083385976,0.6317119393556537,39.20555702618232,30.951103,38.55968,38.589188,38.60669,38.723297,0.1341095,7.6380844,0.015525375,7.772194,37.78573668112427,22.10554542547399,15.49235002925047,32.8588616700572,28
Tyler Herro,herroty01,26.482053887849162,27.6,55.0,40.87012987012987,41.0,11.16505523607887,0.2731837474350407,0.4146341463414634,77.0,40.99130373336033,25.19279682980584,0.7866269577254079,4.8027524477015096,6.977002905701549,77,False,Team.MIAMI_HEAT,0.009960814881553948,2.679645099426705,1.0,30.782176235232757,1.3135856079404467,0.6591811414392059,41.62705759840472,31.071398,40.85621,40.804268,40.899708,41.885365,1.0810966,9.73287,0.10072764,10.813967,40.17489708930534,24.49470583365506,17.88151043743154,31.874461475457046,29
Jaylen Brown,brownja02,25.18941501542635,26.0,50.0,38.92063492063492,40.0,10.354512224455558,0.26604170886651723,0.2875,63.0,45.51568344470277,22.929036096092307,0.6691449505538245,6.404556323920115,22.63304981045735,63,True,Team.BOSTON_CELTICS,0.5808306331172306,2.7319291102005687,1.0,30.002737370566248,1.2524850894632207,0.6512922465208748,39.588756173084136,30.109785,40.62337,38.41974,38.77136,39.357674,0.9379349,8.309954,0.10074539,9.247889,35.10868472108682,19.42849346543654,12.815298069213018,31.82672520842988,30
Pascal Siakam,siakapa01,23.87767025266476,24.7,51.0,36.80769230769231,36.0,9.680879505906969,0.2630124003694683,0.4305555555555556,78.0,26.149721535029386,25.839094264049308,4.848926841181958,-1.0325599056533656,5.9376176706955395,78,True,Team.INDIANA_PACERS,-0.9978551641527855,2.754726832973793,1.0,29.6554611995779,1.3489318413021363,0.6533062054933876,37.428487066882624,30.666368,36.807877,36.808895,36.807667,36.887875,0.07897949,6.1425266,0.01105764,6.221506,36.31730683590401,20.637115580253734,14.023920184030214,31.775052218439008,31
Franz Wagner,wagnefr01,27.764729249730586,29.9,55.1,41.81666666666667,42.0,10.56802041801375,0.25272268835425465,0.26785714285714285,60.0,46.74716683469842,21.544182460814657,0.3018204863236198,3.922498648334524,23.49446778157887,60,False,Team.ORLANDO_MAGIC,0.4262181419004034,2.8350883938479643,1.0,25.768501595472802,1.2868820552744258,0.698326196963799,42.45145763331361,29.841782,41.80524,41.818897,42.03661,42.007736,0.18883896,11.977116,0.01455169,12.165955,37.464585615078875,21.784394359428596,15.171198963205075,31.389626003335685,32
Bam Adebayo,adebaba01,26.0242239298386,27.5,55.0,40.06410256410256,38.0,11.28913676106342,0.28177685355614296,0.4342105263157895,78.0,67.29862244395002,28.96652617169002,3.633525874128658,6.129861813881236,7.077714321510633,78,False,Team.MIAMI_HEAT,2.216145886351969,2.619331137247541,1.0,38.72991385969991,1.339369341242585,0.6696846706212926,40.62123888984503,31.358099,40.058193,40.064556,40.064022,40.064335,-0.00022125244,8.706457,-2.2794356e-05,8.706236,39.18371126860423,23.50352001295395,16.890324616730428,31.254166672591012,33
Scottie Barnes,barnesc01,26.98786795737769,25.8,58.0,42.96923076923077,43.0,11.183737136188464,0.26027315211322954,0.3023255813953488,65.0,48.272887774215405,22.95125721667424,1.34672081050267,4.878425376302346,21.962130499629406,65,False,Team.TORONTO_RAPTORS,0.4353062566682903,2.7756717205663772,1.0,29.176403403479256,1.3191042687193841,0.5867739678096571,43.73080250162744,29.53927,41.897373,42.97038,43.216274,43.136215,0.16583633,13.431108,0.011491586,13.596945,38.928694544656125,23.248503289005846,16.635307892782325,31.084672276564305,34
Austin Reaves,reaveau01,22.536008434478465,20.6,53.8,38.054794520547944,38.0,13.356944128977538,0.3509924123165444,0.42105263157894735,73.0,12.922361964326596,16.296551532173012,0.934194245676017,5.026223409330881,6.531045089264724,73,True,Team.LOS_ANGELES_LAKERS,-1.7505419210690492,2.217332204911057,1.0,22.256969187179912,1.3775517362329006,0.5274640477025606,38.68187224577129,32.074547,37.991142,38.05538,38.054794,38.29919,0.24380875,5.980835,0.034925442,6.2246437,37.418706986899736,21.738515731249457,15.125320335025936,31.06966382498308,35
Derrick White,whitede01,22.72545405650093,24.0,46.0,34.68421052631579,35.0,9.083256033284815,0.2618844683344636,0.2571428571428571,76.0,67.43225871984458,25.53046569875293,0.3831814023228409,-0.3714758878398916,8.213851749126153,76,True,Team.BOSTON_CELTICS,3.2477652144731355,2.763312845678064,1.0,25.54217121323588,1.289085545722714,0.672566371681416,35.15561489164263,31.044436,34.66407,34.68429,34.72932,34.68429,0.0,3.6398563,0.0,3.6398563,33.71179984729601,18.03160859164573,11.418413195422207,29.897212947628198,36
Dyson Daniels,daniedy01,24.81465335845424,26.0,50.5,37.96052631578947,38.0,9.828048997202483,0.25890181067153856,0.375,76.0,2.368127858014377,7.721523303883627,0.9221183161757555,0.9953546206981814,5.069545565061152,76,False,Team.ATLANTA_HAWKS,-3.287055541304873,2.7862773891525014,1.0,9.638996240757564,1.2961837217156367,0.6673421141506248,38.531776801627146,31.476213,37.95637,37.961193,37.96056,38.00078,0.039585114,6.4849796,0.0052886065,6.5245647,37.555083810634066,21.874892554983788,15.261697158760267,29.850841017210637,37
